Id_hecho,Fecha,Rol,Victima,Sexo,Edad,Fecha_fallecimiento
2018-0015,2018-02-06,pasajero_acompañante,moto,masculino,19.0,2018-02-06
2018-0016,2018-02-15,conductor,moto,masculino,31.0,2018-02-15
2018-0017,2018-02-17,peaton,peaton,masculino,35.0,2018-02-20
2018-0018,2018-02-17,conductor,moto,masculino,26.0,2018-02-17
2018-0019,2018-02-17,peaton,peaton,femenino,80.0,2018-02-17
2018-0020,2018-02-19,conductor,moto,masculino,26.0,2018-02-19
2018-0021,2018-02-22,peaton,peaton,femenino,62.0,2018-02-22
2018-0022,2018-02-24,conductor,moto,masculino,28.0,2018-02-24
2018-0023,2018-02-24,conductor,moto,masculino,28.0,2018-02-24
2018-0024,2018-02-28,peaton,peaton,masculino,70.0,2018-02-28
2018-0025,2018-03-04,peaton,peaton,masculino,70.0,2018-03-05
2018-0026,2018-03-09,conductor,movil,masculino,24.0,2018-03-09
2018-0026,2018-03-09,pasajero_acompañante,movil,masculino,30.0,2018-03-09
2018-0027,2018-03-11,peaton,peaton,femenino,74.0,2018-03-11
2018-0028,2018-03-13,peaton,peaton,masculino,71.0,2018-03-13
2018-0029,2018-03-15,conductor,moto,masculino,26.0,2018-03-15
2018-0030,2018-03-20,conductor,moto,masculino,24.0,2018-03-20
2018-0031,2018-03-28,conductor,moto,masculino,31.0,2018-03-28
2018-0032,2018-04-02,peaton,peaton,masculino,70.0,2018-04-02
2018-0033,2018-04-07,conductor,moto,femenino,42.0,2018-04-10
2018-0034,2018-04-11,peaton,peaton,masculino,24.0,2018-04-11
2018-0035,2018-04-12,peaton,peaton,femenino,39.0,2018-04-12
2018-0036,2018-04-13,conductor,moto,masculino,37.0,2018-04-15
2018-0037,2018-04-18,peaton,peaton,masculino,84.0,2018-04-19
2018-0038,2018-04-20,peaton,peaton,femenino,59.0,2018-04-20
2018-0038,2018-04-20,peaton,peaton,masculino,61.0,2018-04-20
2018-0039,2018-04-21,peaton,peaton,masculino,37.0,2018-04-21
2018-0040,2018-04-27,peaton,peaton,femenino,,2018-04-27
2018-0041,2018-04-27,peaton,peaton,femenino,78.0,2018-04-27
2018-0042,2018-04-27,pasajero_acompañante,moto,masculino,23.0,2018-04-27
2018-0043,2018-04-28,conductor,moto,masculino,25.0,2018-04-29
2018-0044,2018-04-28,peaton,peaton,femenino,50.0,2018-04-28
2018-0045,2018-04-30,conductor,auto,masculino,60.0,2018-04-30
2018-0046,2018-05-02,peaton,peaton,masculino,11.0,2018-05-02
2018-0047,2018-05-08,peaton,peaton,masculino,82.0,2018-05-09
2018-0048,2018-05-09,peaton,peaton,masculino,57.0,2018-05-16
2018-0049,2018-05-11,peaton,peaton,femenino,40.0,2018-05-13
2018-0050,2018-05-14,peaton,peaton,femenino,47.0,2018-05-24
2018-0051,2018-05-15,peaton,peaton,femenino,57.0,2018-05-15
2018-0052,2018-05-18,peaton,peaton,masculino,78.0,2018-05-19
2018-0053,2018-05-20,conductor,moto,masculino,43.0,2018-05-20
2018-0054,2018-05-22,peaton,peaton,femenino,86.0,2018-05-25
2018-0055,2018-05-29,conductor,moto,masculino,21.0,2018-05-29
2018-0056,2018-06-02,peaton,peaton,femenino,69.0,2018-06-04
2018-0057,2018-06-03,conductor,moto,masculino,33.0,2018-06-04
2018-0058,2018-06-03,conductor,moto,masculino,26.0,2018-06-13
2018-0059,2018-06-08,conductor,moto,masculino,54.0,2018-06-08
2018-0060,2018-06-08,peaton,peaton,masculino,51.0,2018-06-08
2018-0061,2018-06-10,conductor,moto,masculino,51.0,2018-06-10
2018-0062,2018-06-14,peaton,peaton,masculino,32.0,2018-06-14
2018-0063,2018-06-16,peaton,peaton,femenino,28.0,2018-06-17
2018-0064,2018-06-25,conductor,auto,masculino,30.0,2018-06-25
2018-0065,2018-06-26,conductor,moto,masculino,35.0,2018-06-26
2018-0066,2018-06-28,peaton,peaton,masculino,73.0,2018-06-28
2018-0067,2018-06-29,pasajero_acompañante,pasajeros,femenino,81.0,2018-07-06
2018-0068,2018-07-01,conductor,moto,masculino,21.0,2018-07-01
2018-0069,2018-07-04,ciclista,bicicleta,masculino,20.0,2018-07-04
2018-0070,2018-07-07,conductor,moto,masculino,33.0,2018-07-07
2018-0071,2018-07-10,conductor,moto,masculino,,2018-07-10
2018-0072,2018-07-11,conductor,moto,masculino,27.0,2018-07-13
2018-0073,2018-07-11,peaton,peaton,femenino,67.0,2018-07-11
2018-0074,2018-07-14,conductor,auto,masculino,25.0,2018-07-14
2018-0075,2018-07-15,peaton,peaton,masculino,23.0,2018-07-15
2018-0076,2018-07-16,conductor,auto,masculino,73.0,2018-07-16
2018-0077,2018-07-16,conductor,auto,masculino,58.0,2018-07-17
2018-0078,2018-07-21,peaton,peaton,masculino,27.0,2018-07-21
2018-0079,2018-07-23,peaton,peaton,masculino,,2018-07-23
2018-0080,2018-07-25,peaton,peaton,masculino,26.0,2018-07-25
2018-0081,2018-07-29,peaton,peaton,masculino,35.0,2018-07-29
2018-0082,2018-08-01,conductor,moto,femenino,17.0,2018-08-01
2018-0083,2018-08-02,conductor,moto,masculino,,2018-08-02
2018-0084,2018-08-03,peaton,peaton,masculino,45.0,2018-08-03
2018-0085,2018-08-03,pasajero_acompañante,moto,femenino,22.0,2018-08-03
2018-0085,2018-08-03,conductor,moto,masculino,30.0,2018-08-03
2018-0086,2018-08-10,peaton,peaton,masculino,40.0,2018-08-10
2018-0087,2018-08-15,peaton,peaton,masculino,75.0,2018-08-20
2018-0088,2018-08-17,conductor,moto,masculino,,2018-08-17
2018-0089,2018-08-17,peaton,peaton,masculino,80.0,2018-08-17
2018-0090,2018-08-18,conductor,moto,masculino,27.0,2018-08-18
2018-0091,2018-08-19,pasajero_acompañante,auto,femenino,23.0,2018-08-19
2018-0092,2018-08-20,conductor,moto,masculino,23.0,2018-08-20
2018-0093,2018-08-20,peaton,peaton,masculino,24.0,2018-08-20
2018-0094,2018-08-23,conductor,moto,masculino,32.0,2018-08-23
2018-0095,2018-08-26,pasajero_acompañante,auto,femenino,49.0,2018-08-26
2018-0096,2018-08-31,peaton,peaton,masculino,39.0,2018-08-31
2018-0097,2018-09-02,conductor,auto,femenino,35.0,2018-09-02
2018-0098,2018-09-09,conductor,auto,masculino,55.0,2018-09-09
2018-0098,2018-09-09,pasajero_acompañante,auto,masculino,54.0,2018-09-09
2018-0099,2018-09-12,peaton,peaton,masculino,18.0,2018-09-13
2018-0100,2018-09-20,,moto,femenino,33.0,2018-09-20
2018-0101,2018-09-21,conductor,auto,masculino,,2018-09-21
2018-0102,2018-09-21,conductor,moto,masculino,20.0,2018-09-21
2018-0103,2018-09-27,peaton,peaton,masculino,1.0,2018-09-29
2018-0104,2018-10-01,conductor,moto,masculino,22.0,2018-10-01
2018-0105,2018-10-03,peaton,peaton,femenino,56.0,2018-10-03
